GeoFips,GeoName,Year,BEA Population
0,United States,1929,121769000.00
1000,Alabama,1929,2644000.00
2000,Alaska ,1929,
4000,Arizona,1929,430000.00
5000,Arkansas,1929,1852000.00
6000,California,1929,5531000.00
8000,Colorado,1929,1008000.00
9000,Connecticut,1929,1594000.00
10000,Delaware,1929,236000.00
11000,District of Columbia,1929,483000.00
12000,Florida,1929,1445000.00
13000,Georgia,1929,2903000.00
15000,Hawaii ,1929,
16000,Idaho,1929,447000.00
17000,Illinois,1929,7606000.00
18000,Indiana,1929,3226000.00
19000,Iowa,1929,2460000.00
20000,Kansas,1929,1867000.00
21000,Kentucky,1929,2606000.00
22000,Louisiana,1929,2086000.00
23000,Maine,1929,797000.00
24000,Maryland,1929,1621000.00
25000,Massachusetts,1929,4229000.00
26000,Michigan,1929,4795000.00
27000,Minnesota,1929,2572000.00
28000,Mississippi,1929,1998000.00
29000,Missouri,1929,3622000.00
30000,Montana,1929,524000.00
31000,Nebraska,1929,1375000.00
32000,Nevada,1929,90000.00
33000,New Hampshire,1929,467000.00
34000,New Jersey,1929,3989000.00
35000,New Mexico,1929,420000.00
36000,New York,1929,12171000.00
37000,North Carolina,1929,3133000.00
38000,North Dakota,1929,674000.00
39000,Ohio,1929,6626000.00
40000,Oklahoma,1929,2372000.00
41000,Oregon,1929,947000.00
42000,Pennsylvania,1929,9723000.00
44000,Rhode Island,1929,684000.00
45000,South Carolina,1929,1739000.00
46000,South Dakota,1929,690000.00
47000,Tennessee,1929,2604000.00
48000,Texas,1929,5762000.00
49000,Utah,1929,508000.00
50000,Vermont,1929,359000.00
51000,Virginia,1929,2425000.00
53000,Washington,1929,1555000.00
54000,West Virginia,1929,1717000.00
55000,Wisconsin,1929,2934000.00
56000,Wyoming,1929,223000.00
91000,New England,1929,8130000.00
92000,Mideast,1929,28223000.00
93000,Great Lakes,1929,25187000.00
94000,Plains,1929,13260000.00
95000,Southeast,1929,27152000.00
96000,Southwest,1929,8984000.00
97000,Rocky Mountain,1929,2710000.00
98000,Far West,1929,8123000.00
Legend / Footnotes:,,1929,
1/ Census Bureau midyear population estimate. Estimates for 2010-2019 reflect Census Bureau midyear state population estimates available as of December 2019.,,1929,
* Estimates prior to 1950 are not available for Alaska and Hawaii.,,1929,
Note. All dollar estimates are in millions of current dollars (not adjusted for inflation). Calculations are performed on unrounded data.,,1929,
,,1929,
"Last updated: September 24, 2020-- revised statistics for 2013-2019.",,1929,
0,United States,1930,123075000.00
1000,Alabama,1930,2647000.00
2000,Alaska ,1930,
4000,Arizona,1930,434000.00
5000,Arkansas,1930,1859000.00
6000,California,1930,5711000.00
8000,Colorado,1930,1040000.00
9000,Connecticut,1930,1613000.00
10000,Delaware,1930,239000.00
11000,District of Columbia,1930,488000.00
12000,Florida,1930,1471000.00
13000,Georgia,1930,2910000.00
15000,Hawaii ,1930,
16000,Idaho,1930,447000.00
17000,Illinois,1930,7644000.00
18000,Indiana,1930,3242000.00
19000,Iowa,1930,2475000.00
20000,Kansas,1930,1883000.00
21000,Kentucky,1930,2623000.00
22000,Louisiana,1930,2105000.00
23000,Maine,1930,800000.00
24000,Maryland,1930,1636000.00
25000,Massachusetts,1930,4250000.00
26000,Michigan,1930,4834000.00
27000,Minnesota,1930,2576000.00
28000,Mississippi,1930,2006000.00
29000,Missouri,1930,3646000.00
30000,Montana,1930,539000.00
31000,Nebraska,1930,1380000.00
32000,Nevada,1930,92000.00
33000,New Hampshire,1930,466000.00
34000,New Jersey,1930,4068000.00
35000,New Mexico,1930,427000.00
36000,New York,1930,12647000.00
37000,North Carolina,1930,3167000.00
38000,North Dakota,1930,682000.00
39000,Ohio,1930,6662000.00
40000,Oklahoma,1930,2401000.00
41000,Oregon,1930,956000.00
42000,Pennsylvania,1930,9649000.00
44000,Rhode Island,1930,686000.00
45000,South Carolina,1930,1745000.00
46000,South Dakota,1930,693000.00
47000,Tennessee,1930,2619000.00
48000,Texas,1930,5844000.00
49000,Utah,1930,509000.00
50000,Vermont,1930,360000.00
51000,Virginia,1930,2427000.00
53000,Washington,1930,1568000.00
54000,West Virginia,1930,1733000.00
55000,Wisconsin,1930,2950000.00
56000,Wyoming,1930,226000.00
91000,New England,1930,8175000.00
92000,Mideast,1930,28727000.00
93000,Great Lakes,1930,25332000.00
94000,Plains,1930,13335000.00
95000,Southeast,1930,27312000.00
96000,Southwest,1930,9106000.00
97000,Rocky Mountain,1930,2761000.00
98000,Far West,1930,8327000.00
Legend / Footnotes:,,1930,
1/ Census Bureau midyear population estimate. Estimates for 2010-2019 reflect Census Bureau midyear state population estimates available as of December 2019.,,1930,
* Estimates prior to 1950 are not available for Alaska and Hawaii.,,1930,
Note. All dollar estimates are in millions of current dollars (not adjusted for inflation). Calculations are performed on unrounded data.,,1930,
,,1930,
"Last updated: September 24, 2020-- revised statistics for 2013-2019.",,1930,
0,United States,1931,124038000.00
1000,Alabama,1931,2649000.00
2000,Alaska ,1931,
4000,Arizona,1931,429000.00
5000,Arkansas,1931,1848000.00
6000,California,1931,5824000.00
8000,Colorado,1931,1056000.00
9000,Connecticut,1931,1628000.00
10000,Delaware,1931,242000.00
11000,District of Columbia,1931,504000.00
12000,Florida,1931,1493000.00
13000,Georgia,1931,2924000.00
15000,Hawaii ,1931,
16000,Idaho,1931,454000.00
17000,Illinois,1931,7687000.00
18000,Indiana,1931,3257000.00
19000,Iowa,1931,2482000.00
20000,Kansas,1931,1881000.00
21000,Kentucky,1931,2652000.00
22000,Louisiana,1931,2124000.00
23000,Maine,1931,807000.00
24000,Maryland,1931,1657000.00
25000,Massachusetts,1931,4248000.00
26000,Michigan,1931,4798000.00
27000,Minnesota,1931,2614000.00
28000,Mississippi,1931,1994000.00
29000,Missouri,1931,3711000.00
30000,Montana,1931,540000.00
31000,Nebraska,1931,1384000.00
32000,Nevada,1931,94000.00
33000,New Hampshire,1931,470000.00
34000,New Jersey,1931,4120000.00
35000,New Mexico,1931,436000.00
36000,New York,1931,12848000.00
37000,North Carolina,1931,3184000.00
38000,North Dakota,1931,680000.00
39000,Ohio,1931,6694000.00
40000,Oklahoma,1931,2403000.00
41000,Oregon,1931,966000.00
42000,Pennsylvania,1931,9707000.00
44000,Rhode Island,1931,681000.00
45000,South Carolina,1931,1753000.00
46000,South Dakota,1931,694000.00
47000,Tennessee,1931,2657000.00
48000,Texas,1931,5907000.00
49000,Utah,1931,513000.00
50000,Vermont,1931,359000.00
51000,Virginia,1931,2445000.00
53000,Washington,1931,1581000.00
54000,West Virginia,1931,1740000.00
55000,Wisconsin,1931,2990000.00
56000,Wyoming,1931,229000.00
91000,New England,1931,8193000.00
92000,Mideast,1931,29078000.00
93000,Great Lakes,1931,25426000.00
94000,Plains,1931,13446000.00
95000,Southeast,1931,27463000.00
96000,Southwest,1931,9175000.00
97000,Rocky Mountain,1931,2792000.00
98000,Far West,1931,8465000.00
Legend / Footnotes:,,1931,
1/ Census Bureau midyear population estimate. Estimates for 2010-2019 reflect Census Bureau midyear state population estimates available as of December 2019.,,1931,
* Estimates prior to 1950 are not available for Alaska and Hawaii.,,1931,
Note. All dollar estimates are in millions of current dollars (not adjusted for inflation). Calculations are performed on unrounded data.,,1931,
,,1931,
"Last updated: September 24, 2020-- revised statistics for 2013-2019.",,1931,
0,United States,1932,124839000.00
1000,Alabama,1932,2653000.00
2000,Alaska ,1932,
4000,Arizona,1932,426000.00
5000,Arkansas,1932,1836000.00
6000,California,1932,5894000.00
8000,Colorado,1932,1066000.00
9000,Connecticut,1932,1637000.00
10000,Delaware,1932,245000.00
11000,District of Columbia,1932,513000.00
12000,Florida,1932,1521000.00
13000,Georgia,1932,2935000.00
15000,Hawaii ,1932,
16000,Idaho,1932,459000.00
17000,Illinois,1932,7736000.00
18000,Indiana,1932,3281000.00
19000,Iowa,1932,2489000.00
20000,Kansas,1932,1883000.00
21000,Kentucky,1932,2676000.00
22000,Louisiana,1932,2155000.00
23000,Maine,1932,815000.00
24000,Maryland,1932,1678000.00
25000,Massachusetts,1932,4259000.00
26000,Michigan,1932,4780000.00
27000,Minnesota,1932,2646000.00
28000,Mississippi,1932,2004000.00
29000,Missouri,1932,3746000.00
30000,Montana,1932,540000.00
31000,Nebraska,1932,1386000.00
32000,Nevada,1932,96000.00
33000,New Hampshire,1932,474000.00
34000,New Jersey,1932,4120000.00
35000,New Mexico,1932,441000.00
36000,New York,1932,13001000.00
37000,North Carolina,1932,3227000.00
38000,North Dakota,1932,676000.00
39000,Ohio,1932,6717000.00
40000,Oklahoma,1932,2394000.00
41000,Oregon,1932,972000.00
42000,Pennsylvania,1932,9764000.00
44000,Rhode Island,1932,677000.00
45000,South Carolina,1932,1748000.00
46000,South Dakota,1932,692000.00
47000,Tennessee,1932,2711000.00
48000,Texas,1932,5961000.00
